Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
Toyota,Prado,2009,Other,Silver,Full,4.0,Gas,Manual,300000,Jeddah,50000,False
Cadillac,CT4,2020,Saudi,Grey,Semi Full,3.7,Gas,Automatic,5800,Jeddah,155000,False
Nissan,Datsun,1989,Saudi,White,Standard,2.4,Gas,Manual,249,Riyadh,11000,False
Toyota,Hilux,2016,Saudi,White,Semi Full,2.7,Gas,Manual,23600,Abha,0,True
Ford,Taurus,2013,Saudi,White,Standard,1.0,Gas,Automatic,298,Makkah,38000,False
Chevrolet,Tahoe,2012,Saudi,Golden,Semi Full,5.3,Gas,Automatic,327000,Riyadh,45000,False
Chrysler,New Yorker,1978,Other,Black,Full,6.6,Gas,Automatic,52000,Riyadh,0,True
Hyundai,Accent,2018,Saudi,Grey,Full,1.4,Gas,Automatic,20000,Al-Ahsa,37000,False
Hyundai,H1,2013,Gulf Arabic,White,Semi Full,2.4,Gas,Automatic,246,Tabouk,31000,False
Ford,Ranger,2011,Other,White,Standard,2.2,Gas,Manual,150000,Riyadh,20000,False
Toyota,Innova,2013,Saudi,Navy,Standard,2.7,Gas,Manual,3640000,Riyadh,30000,False
Toyota,Camry,2007,Saudi,Red,Standard,1.1,Gas,Automatic,100000,Arar,22000,False
GMC,Yukon,2014,Saudi,White,Full,8.0,Gas,Automatic,80000,Riyadh,120000,False
Lexus,LS,2003,Saudi,Golden,Semi Full,9.0,Gas,Automatic,470000,Hail,0,True
GMC,Terrain,2016,Saudi,White,Standard,2.4,Gas,Automatic,151000,Jazan,45000,False
Toyota,Corolla,2011,Saudi,Grey,Semi Full,1.6,Gas,Manual,490,Al-Medina,18000,False
GMC,Yukon,2008,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,320000,Tabouk,0,True
Kia,Cadenza,2017,Saudi,Silver,Standard,3.3,Gas,Automatic,106240,Riyadh,0,True
Peugeot,301,2014,Saudi,Another Color,Standard,1.6,Gas,Automatic,159,Tabouk,12000,False
Kia,Sportage,2020,Saudi,Orange,Semi Full,1.6,Gas,Automatic,7600,Jeddah,2656,False
Toyota,Innova,2017,Saudi,White,Full,2.7,Gas,Automatic,37000,Dammam,0,True
Mercedes,S,2017,Saudi,Grey,Full,6.0,Gas,Automatic,36000,Riyadh,310000,False
Toyota,Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,28000,Riyadh,54000,False
Toyota,Furniture,2019,Saudi,White,Full,4.0,Gas,Automatic,135000,Riyadh,115005,False
Toyota,Rav4,2018,Other,White,Full,2.5,Gas,Automatic,61000,Riyadh,83000,False
Toyota,Rav4,2017,Gulf Arabic,White,Full,2.0,Gas,Automatic,93000,Riyadh,83000,False
Mazda,CX3,2018,Saudi,White,Standard,3.0,Gas,Automatic,39000,Riyadh,58000,False
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,128000,Riyadh,35000,False
GMC,Yukon,2005,Saudi,Bronze,Standard,5.3,Gas,Automatic,409000,Riyadh,20000,False
Toyota,Avalon,2015,Saudi,White,Standard,3.5,Gas,Automatic,78000,Riyadh,0,True
Toyota,Hilux,2020,Gulf Arabic,White,Full,2.7,Gas,Manual,53000,Riyadh,103000,False
Chevrolet,Lumina,2006,Other,Oily,Standard,6.0,Gas,Automatic,470000,Riyadh,3000,False
Toyota,Land Cruiser,2014,Saudi,Black,Full,4.6,Gas,Automatic,270,Riyadh,0,True
Kia,Optima,2014,Saudi,Silver,Full,2.5,Gas,Automatic,2002500,Riyadh,42000,False
Toyota,Corolla,2017,Saudi,White,Standard,1.6,Gas,Automatic,110,Aseer,46000,False
Lexus,LX,2015,Saudi,Black,Full,5.7,Gas,Automatic,109900,Riyadh,0,True
Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,96000,Dammam,36000,False
Nissan,Sunny,2013,Other,White,Standard,1.5,Gas,Automatic,175097,Riyadh,0,True
Chevrolet,Suburban,1999,Saudi,Green,Standard,5.3,Gas,Automatic,2500,Hail,6500,False
Isuzu,D-MAX,2020,Saudi,White,Full,2.5,Diesel,Automatic,40000,Riyadh,120500,False
Hyundai,Tucson,2017,Saudi,Another Color,Semi Full,2.0,Gas,Automatic,152,Dammam,62000,False
Toyota,Hilux,2015,Saudi,White,Full,2.7,Gas,Manual,303149,Hail,0,True
Toyota,Land Cruiser,2020,Saudi,White,Full,4.6,Diesel,Automatic,47600,Riyadh,0,True
Hyundai,Azera,2020,Other,Grey,Semi Full,3.5,Gas,Automatic,37000,Tabouk,1846,False
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,221000,Jubail,1300,False
Chevrolet,Suburban,2000,Saudi,Black,Semi Full,1.5,Gas,Automatic,50000,Qurayyat,0,True
Nissan,Patrol,2020,Saudi,Grey,Full,4.0,Gas,Automatic,89000,Riyadh,210000,False
Chevrolet,Suburban,2016,Saudi,White,Semi Full,5.3,Gas,Automatic,90000,Al-Medina,0,True
Mitsubishi,Pajero,2017,Saudi,White,Full,3.5,Gas,Automatic,136000,Dammam,67000,False
Toyota,Yaris,2015,Saudi,White,Semi Full,1.5,Gas,Automatic,150000,Riyadh,0,True
GMC,Sierra,2015,Saudi,Silver,Full,5.3,Gas,Automatic,272,Tabouk,70000,False
Fiat,500,2020,Saudi,White,Full,1.4,Gas,Automatic,11500,Riyadh,85000,False
Toyota,Land Cruiser,2018,Saudi,White,Full,4.6,Gas,Automatic,92000,Taef,0,True
Toyota,Yaris,2016,Saudi,Grey,Standard,1.5,Gas,Manual,134000,Jubail,23000,False
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,73000,Dammam,79000,False
GMC,Sierra,2020,Saudi,Silver,Semi Full,5.3,Gas,Automatic,18000,Dammam,152000,False
Lexus,LS,2007,Saudi,Another Color,Full,4.6,Gas,Automatic,353000,Aseer,0,True
GMC,Yukon,2012,Saudi,Black,Full,5.3,Gas,Automatic,270,Qassim,39000,False
Toyota,Hiace,2010,Saudi,White,Standard,2.7,Gas,Manual,300,Al-Ahsa,0,True
Toyota,Land Cruiser,2013,Gulf Arabic,White,Full,8.0,Gas,Automatic,200000,Dammam,0,True
Chevrolet,Kaptiva,2021,Saudi,Red,Standard,1.5,Gas,Automatic,18750,Al-Ahsa,0,True
Chevrolet,Suburban,2017,Saudi,Another Color,Full,5.3,Gas,Automatic,184000,Dammam,137000,False
Ford,Taurus,2017,Other,Silver,Semi Full,3.5,Gas,Automatic,142311,Dammam,75000,False
Toyota,Innova,2016,Saudi,White,Full,2.7,Gas,Automatic,101000,Dammam,72000,False
Toyota,Rav4,2018,Saudi,White,Standard,2.5,Gas,Automatic,134000,Dammam,66000,False
Toyota,Camry,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,125000,Dammam,53000,False
Ford,Taurus,2015,Saudi,White,Semi Full,2.0,Gas,Automatic,285000,Dammam,52000,False
BMW,The 7,2009,Saudi,Bronze,Full,4.4,Gas,Automatic,285000,Dammam,46000,False
Land Rover,Range Rover,2008,Saudi,White,Full,5.0,Gas,Automatic,329000,Dammam,32000,False
Nissan,VTC,2000,Saudi,White,Semi Full,4.8,Gas,Manual,490000,Dammam,30000,False
Mercedes,CLS,2007,Saudi,Grey,Full,6.3,Gas,Automatic,340000,Dammam,21000,False
Audi,A8,2007,Saudi,White,Full,3.2,Gas,Automatic,180000,Dammam,19000,False
Lincoln,MKX,2007,Saudi,Black,Full,3.7,Gas,Automatic,340000,Dammam,0,True
Toyota,Prado,2016,Saudi,White,Semi Full,4.0,Gas,Automatic,201000,Riyadh,107000,False
Ford,Marquis,2006,Other,Red,Full,4.6,Gas,Automatic,200000,Hafar Al-Batin,0,True
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,8000,Dammam,295000,False
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,38000,Dammam,255000,False
Lexus,LS,2015,Saudi,White,Full,4.6,Gas,Automatic,132000,Dammam,165000,False
GMC,Sierra,2018,Saudi,Silver,Standard,5.3,Gas,Automatic,152000,Dammam,124000,False
Chevrolet,Tahoe,2016,Saudi,Brown,Standard,5.3,Gas,Automatic,223000,Dammam,110000,False
Mitsubishi,Pajero,2017,Saudi,White,Full,3.5,Gas,Automatic,111000,Dammam,68000,False
Honda,Odyssey,2015,Saudi,White,Standard,3.5,Gas,Automatic,153000,Dammam,60000,False
Nissan,Pathfinder,2007,Saudi,White,Full,3.5,Gas,Automatic,200000,Riyadh,0,True
Mercedes,C,2020,Saudi,White,Full,2.0,Gas,Automatic,10000,Jeddah,190000,False
Toyota,Land Cruiser,1999,Other,Silver,Semi Full,4.6,Gas,Manual,175000,Riyadh,57000,False
Audi,A4,2013,Gulf Arabic,Another Color,Full,2.0,Gas,Automatic,250000,Riyadh,45000,False
Ford,Expedition,2013,Saudi,White,Standard,5.4,Gas,Automatic,78000,Dammam,64000,False
Toyota,Camry,2017,Saudi,White,Full,1.4,Gas,Automatic,13400,Riyadh,65000,False
Audi,A6,2013,Saudi,Black,Semi Full,3.0,Gas,Automatic,75000,Riyadh,70000,False
Kia,Optima,2015,Other,Red,Semi Full,2.4,Gas,Automatic,950000,Al-Medina,0,True
Hyundai,Sonata,2006,Other,White,Standard,2.4,Gas,Manual,250,Riyadh,0,True
Jeep,Cherokee,1998,Saudi,White,Standard,4.0,Gas,Automatic,270000,Yanbu,16000,False
Chevrolet,Tahoe,2012,Saudi,Black,Full,5.3,Gas,Automatic,281,Riyadh,65000,False
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,13000,Riyadh,420000,False
Rolls-Royce,Ghost,2013,Gulf Arabic,White,Full,6.0,Gas,Automatic,24000,Riyadh,700000,False
Mercedes,POS24,1982,Other,Another Color,Standard,8.0,Diesel,Manual,1000,Taef,0,True
Toyota,Hilux,2014,Gulf Arabic,White,Full,2.7,Gas,Manual,237000,Jubail,0,True
Toyota,Prado,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,19054,Riyadh,162500,False
Porsche,Cayenne S,2013,Saudi,White,Full,4.8,Gas,Automatic,219000,Riyadh,100000,False
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,108000,Riyadh,29000,False
Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,71000,Riyadh,65000,False
Toyota,Camry,2016,Saudi,Silver,Standard,2.4,Gas,Automatic,79000,Riyadh,0,True
Kia,Rio,2019,Saudi,White,Standard,1.4,Gas,Automatic,51000,Riyadh,31000,False
Hyundai,Accent,2017,Saudi,Silver,Standard,1.4,Gas,Automatic,80000,Riyadh,0,True
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,65000,Riyadh,30000,False
Honda,Accord,2010,Saudi,Silver,Full,2.4,Gas,Automatic,300000,Riyadh,32000,False
Toyota,Ciocca,2014,Saudi,White,Semi Full,1.6,Gas,Automatic,28000,Qassim,75000,False
Ford,Explorer,2010,Saudi,White,Full,3.5,Gas,Automatic,200,Hafar Al-Batin,0,True
GMC,Sierra,2016,Saudi,White,Semi Full,5.3,Gas,Automatic,99000,Al-Ahsa,0,True
Toyota,Land Cruiser Pickup,2015,Saudi,Brown,Semi Full,4.0,Gas,Manual,260000,Jubail,60000,False
Toyota,Camry,2004,Saudi,Grey,Semi Full,7.8,Gas,Manual,507,Najran,0,True
Toyota,Land Cruiser,2013,Gulf Arabic,White,Semi Full,4.6,Gas,Automatic,240000,Riyadh,105000,False
Chevrolet,Tahoe,2008,Other,Black,Full,2.9,Gas,Automatic,265000,Riyadh,33000,False
GMC,Yukon,2015,Saudi,Black,Full,6.2,Gas,Automatic,216000,Besha,98000,False
Mercedes,S,1980,Other,White,Standard,3.0,Gas,Automatic,160000,Riyadh,40000,False
Ford,Victoria,2011,Saudi,Another Color,Standard,4.6,Gas,Automatic,270,Dammam,35000,False
Hyundai,Elantra,2018,Saudi,Silver,Full,2.0,Gas,Automatic,97588,Jeddah,55000,False
Mazda,6,2016,Saudi,Red,Full,2.5,Gas,Automatic,117000,Hafar Al-Batin,72000,False
Ford,Taurus,2018,Saudi,Black,Standard,3.5,Gas,Automatic,180,Riyadh,0,True
Chevrolet,Tahoe,2017,Saudi,Black,Semi Full,8.0,Gas,Automatic,220,Arar,118000,False
Nissan,Patrol,2020,Saudi,Grey,Full,1.4,Gas,Automatic,89000,Riyadh,210000,False
Ford,Victoria,1999,Other,Golden,Semi Full,4.6,Gas,Automatic,391047,Aseer,0,True
Mercedes,S,2012,Gulf Arabic,Navy,Full,3.3,Gas,Automatic,85000,Al-Medina,110000,False
Dodge,Charger,2012,Saudi,Yellow,Full,6.4,Gas,Automatic,167000,Al-Medina,85000,False
Toyota,Furniture,2018,Saudi,White,Semi Full,2.7,Gas,Automatic,224000,Dammam,85000,False
Hyundai,Accent,2017,Saudi,Silver,Semi Full,1.4,Gas,Automatic,174000,Jeddah,24000,False
Chrysler,C300,2019,Saudi,Black,Full,5.7,Gas,Automatic,45000,Riyadh,145000,False
Mazda,6,2019,Saudi,Black,Full,2.1,Gas,Automatic,81000,Jeddah,90000,False
Nissan,Sunny,2014,Saudi,White,Standard,1.5,Gas,Automatic,176000,Makkah,0,True
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,134000,Al-Ahsa,170000,False
Toyota,Camry,2019,Saudi,Black,Standard,2.5,Hybrid,Automatic,55000,Makkah,80000,False
Toyota,Furniture,2018,Saudi,White,Full,2.7,Gas,Automatic,120000,Hafar Al-Batin,0,True
Changan,CS95,2020,Saudi,Brown,Full,2.0,Gas,Automatic,32000,Jazan,0,True
BMW,The 7,2016,Saudi,White,Full,2.0,Gas,Automatic,161,Khobar,160000,False
Hyundai,Elantra,2014,Saudi,Grey,Full,2.0,Gas,Automatic,290000,Riyadh,33500,False
Kia,Cores,2005,Saudi,White,Standard,4.0,Gas,Manual,400,Makkah,10000,False
Ford,Taurus,2016,Saudi,Grey,Semi Full,3.5,Gas,Automatic,66000,Riyadh,77000,False
BMW,The 5,2011,Saudi,Silver,Semi Full,3.0,Gas,Automatic,276000,Riyadh,65000,False
Toyota,Yaris,2016,Saudi,White,Semi Full,1.5,Gas,Automatic,155000,Jeddah,32000,False
Chevrolet,Caprice,2013,Other,White,Semi Full,6.2,Gas,Automatic,193000,Dammam,44000,False
Jeep,Wrangler,2019,Saudi,White,Full,3.6,Gas,Automatic,16000,Riyadh,181000,False
Toyota,Camry,2016,Saudi,Another Color,Standard,2.5,Gas,Automatic,111417,Yanbu,0,True
Jeep,Grand Cherokee,2015,Saudi,Silver,Full,5.7,Gas,Automatic,146000,Riyadh,95000,False
Toyota,Yaris,2017,Saudi,Grey,Standard,1.5,Gas,Automatic,12500,Tabouk,32000,False
GMC,Terrain,2015,Saudi,Silver,Semi Full,2.4,Gas,Automatic,125000,Riyadh,38000,False
Kia,Optima,2009,Other,White,Semi Full,2.4,Gas,Automatic,183,Hafar Al-Batin,0,True
Toyota,Furniture,2018,Saudi,White,Semi Full,4.0,Gas,Automatic,145,Riyadh,0,True
Changan,CS95,2019,Saudi,Black,Full,2.0,Gas,Automatic,106000,Jeddah,70000,False
Chevrolet,Tahoe,2013,Saudi,Silver,Standard,5.3,Gas,Automatic,344,Taef,0,True
Lexus,LX,2009,Gulf Arabic,White,Full,5.7,Gas,Automatic,422,Riyadh,0,True
Lexus,ES,2013,Saudi,Black,Full,1.6,Gas,Automatic,263000,Dammam,66000,False
Chrysler,C300,2012,Saudi,Red,Full,5.7,Gas,Automatic,72000,Riyadh,0,True
GMC,Yukon,2013,Saudi,Brown,Semi Full,5.3,Gas,Automatic,165000,Riyadh,0,True
Genesis,Prestige,2014,Saudi,Black,Full,3.8,Gas,Automatic,141000,Riyadh,0,True
Chevrolet,Caprice,2010,Saudi,Golden,Full,6.0,Gas,Automatic,186000,Riyadh,0,True
Hyundai,Elantra,2017,Other,Silver,Standard,1.6,Diesel,Automatic,86000,Dammam,47000,False
Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,121000,Dammam,75000,False
Nissan,Patrol,2017,Saudi,White,Standard,4.0,Gas,Automatic,198000,Dammam,114000,False
Toyota,Furniture,2020,Saudi,Grey,Semi Full,4.0,Gas,Automatic,3000,Dammam,135000,False
Toyota,Avalon,2019,Saudi,White,Standard,3.5,Gas,Automatic,43418,Riyadh,115000,False
Ford,Taurus,2015,Saudi,Grey,Standard,3.6,Gas,Automatic,130243,Riyadh,58000,False
Toyota,Camry,2017,Saudi,White,Full,2.4,Gas,Automatic,128336,Riyadh,0,True
Ford,Echo Sport,2015,Saudi,White,Standard,1.4,Gas,Automatic,101600,Riyadh,28000,False
Jeep,Cherokee,1992,Saudi,Red,Standard,2.4,Gas,Manual,300000,Al-Ahsa,16000,False
Hyundai,Sonata,2018,Saudi,Silver,Standard,2.5,Gas,Automatic,71629,Riyadh,50000,False
Jeep,Liberty,2012,Other,Blue,Semi Full,3.7,Gas,Automatic,200000,Jeddah,0,True
Nissan,Datsun,2015,Saudi,White,Standard,1.9,Gas,Manual,142000,Makkah,39000,False
Toyota,Hilux,2019,Saudi,White,Full,2.7,Gas,Manual,55000,Riyadh,0,True
Geely,GC7,2015,Saudi,Silver,Full,1.6,Gas,Automatic,140000,Taef,15000,False
Hyundai,Sonata,2019,Saudi,White,Semi Full,2.4,Gas,Automatic,92000,Dammam,84000,False
BMW,X,2009,Saudi,White,Full,4.4,Gas,Automatic,404000,Dammam,0,True
Audi,A8,2011,Gulf Arabic,Silver,Full,3.0,Gas,Automatic,199,Riyadh,0,True
Isuzu,D-MAX,2014,Saudi,White,Semi Full,3.0,Diesel,Manual,177,Aseer,0,True
Nissan,Sunny,2018,Gulf Arabic,Brown,Semi Full,1.5,Gas,Automatic,106,Jeddah,23000,False
Ford,Focus,2011,Unknown,White,Standard,1.6,Gas,Automatic,181000,Jeddah,10000,False
Mercedes,S,2006,Unknown,Navy,Full,3.0,Gas,Automatic,347000,Riyadh,0,True
Toyota,Hilux,2016,Unknown,White,Full,2.7,Gas,Manual,342125,Dammam,0,True
Toyota,Land Cruiser Pickup,1997,Unknown,White,Full,4.0,Gas,Manual,300000,Riyadh,0,True
Toyota,Furniture,2017,Unknown,White,Semi Full,2.7,Gas,Automatic,70000,Al-Ahsa,75000,False
GMC,Yukon,2011,Saudi,Bronze,Semi Full,5.3,Gas,Automatic,223,Hail,40000,False
Chevrolet,Silverado,2010,Saudi,White,Standard,3.5,Gas,Automatic,303545,Najran,0,True
Mitsubishi,Pajero,2017,Gulf Arabic,White,Full,3.2,Diesel,Automatic,80000,Qassim,89500,False
Toyota,Land Cruiser,2012,Saudi,White,Full,8.0,Gas,Automatic,228000,Qassim,112000,False
Hyundai,Elantra,2016,Other,White,Full,2.0,Gas,Automatic,309000,Besha,0,True
Hyundai,Senta fe,2016,Saudi,White,Semi Full,3.3,Gas,Automatic,255000,Aseer,51000,False
Genesis,G330,2017,Other,Silver,Semi Full,3.3,Gas,Automatic,68000,Qurayyat,70000,False
GMC,Yukon,2008,Gulf Arabic,Golden,Semi Full,5.3,Gas,Automatic,395000,Najran,0,True
Toyota,FJ,2015,Saudi,Black,Semi Full,4.0,Gas,Automatic,110000,Dammam,115000,False
Mitsubishi,Pajero,2015,Other,Brown,Semi Full,3.5,Gas,Automatic,153000,Al-Ahsa,0,True
Toyota,Camry,2009,Saudi,White,Semi Full,2.5,Gas,Automatic,600000,Al-Medina,23000,False
Dodge,Charger,2017,Saudi,Grey,Full,3.6,Gas,Automatic,166,Riyadh,0,True
Toyota,Yaris,2020,Saudi,Brown,Semi Full,1.5,Gas,Automatic,13000,Jeddah,37000,False
Toyota,Hilux,2010,Saudi,White,Standard,2.7,Gas,Manual,200000,Jeddah,0,True
Toyota,Hilux,2014,Saudi,White,Full,2.7,Gas,Manual,98000,Najran,70000,False
Mercedes,GL,2015,Saudi,Black,Full,5.0,Gas,Automatic,32000,Makkah,183000,False
GMC,Acadia,2008,Other,Black,Semi Full,1.6,Gas,Automatic,27000,Makkah,0,True
Mazda,CX9,2015,Saudi,Black,Full,2.5,Gas,Automatic,234000,Taef,57000,False
Toyota,Land Cruiser 70,2019,Saudi,White,Full,4.0,Gas,Manual,26000,Aseer,130000,False
Kia,Rio,2016,Saudi,White,Standard,1.4,Gas,Automatic,109000,Riyadh,0,True
Toyota,Furniture,2015,Saudi,White,Standard,1.4,Gas,Automatic,322000,Riyadh,0,True
Nissan,Datsun,2015,Saudi,White,Full,2.7,Gas,Manual,82000,Makkah,0,True
Ford,Taurus,2016,Saudi,Silver,Semi Full,3.5,Gas,Automatic,248000,Dammam,0,True
Toyota,Hilux,2020,Saudi,White,Full,2.7,Gas,Manual,89000,Riyadh,0,True
Kia,Rio,2016,Saudi,White,Standard,1.4,Gas,Automatic,130000,Riyadh,0,True
Lexus,ES,2020,Saudi,Another Color,Full,3.5,Gas,Automatic,29000,Jeddah,230000,False
Toyota,Prado,2016,Saudi,White,Standard,4.0,Gas,Automatic,74000,Jeddah,120000,False
Toyota,Camry,2010,Saudi,Green,Full,2.4,Gas,Manual,390000,Dammam,20000,False
Toyota,Land Cruiser,2003,Saudi,White,Full,4.6,Gas,Automatic,560000,Al-Ahsa,0,True
Toyota,Prado,2015,Saudi,Grey,Semi Full,4.0,Gas,Automatic,70000,Tabouk,110000,False
Toyota,Corolla,2014,Other,White,Semi Full,1.6,Gas,Automatic,212,Makkah,0,True
Hyundai,Tucson,2018,Other,Silver,Semi Full,2.0,Gas,Automatic,100000,Jeddah,60000,False
Hyundai,Sonata,2014,Saudi,White,Semi Full,2.4,Gas,Automatic,300,Aseer,0,True
Chevrolet,Tahoe,2019,Saudi,White,Full,5.3,Gas,Automatic,62000,Jeddah,195000,False
Chevrolet,Suburban,2001,Saudi,Black,Full,5.3,Gas,Automatic,400000,Taef,0,True
BMW,The M,2020,Saudi,Black,Full,6.0,Gas,Automatic,13000,Riyadh,385000,False
Ford,Expedition,2016,Saudi,Black,Semi Full,5.4,Gas,Automatic,160000,Riyadh,85000,False
Toyota,Hilux,2016,Saudi,White,Semi Full,2.7,Gas,Manual,135637,Qassim,0,True
Toyota,Land Cruiser 70,2012,Saudi,Another Color,Semi Full,4.0,Gas,Manual,280,Tabouk,0,True
Land Rover,Range Rover,2007,Saudi,White,Full,8.9,Gas,Automatic,148,Riyadh,38000,False
Chevrolet,Tahoe,2015,Saudi,White,Full,6.0,Gas,Automatic,26000,Jubail,0,True
Renault,Duster,2019,Saudi,Orange,Full,1.6,Gas,Automatic,27000,Dammam,54000,False
Ford,Explorer,2009,Other,White,Semi Full,3.5,Gas,Automatic,430,Jeddah,20000,False
Nissan,Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,77000,Riyadh,0,True
Dodge,Charger,2020,Saudi,Grey,Standard,3.6,Gas,Automatic,11000,Riyadh,100000,False
Mazda,CX9,2016,Gulf Arabic,Black,Full,2.5,Gas,Automatic,130000,Qassim,0,True
Kia,Rio,2014,Other,Grey,Standard,1.4,Gas,Automatic,196,Al-Ahsa,18000,False
Toyota,FJ,2020,Gulf Arabic,White,Full,4.0,Gas,Automatic,15000,Riyadh,0,True
Toyota,Camry,2001,Saudi,White,Full,4.0,Gas,Manual,350000,Jeddah,25000,False
GMC,Suburban,2003,Saudi,Another Color,Standard,5.3,Gas,Automatic,472000,Riyadh,0,True
Toyota,Hilux,2009,Saudi,White,Full,2.7,Gas,Manual,465,Aseer,0,True
Dodge,Charger,2016,Other,Navy,Full,1.7,Gas,Automatic,140,Al-Medina,65000,False
Toyota,Furniture,2015,Gulf Arabic,Silver,Standard,2.7,Gas,Automatic,243000,Riyadh,50000,False
Kia,Cores,2015,Saudi,Black,Full,3.5,Gas,Automatic,130,Dammam,0,True
Hyundai,Sonata,2017,Saudi,Another Color,Semi Full,2.4,Gas,Automatic,224000,Riyadh,0,True
Toyota,Hilux,2016,Gulf Arabic,White,Full,2.4,Gas,Manual,164000,Al-Jouf,0,True
Cadillac,Escalade,2010,Other,Silver,Full,6.2,Gas,Automatic,194000,Al-Medina,37000,False
Chevrolet,Lumina,2008,Saudi,White,Standard,3.0,Gas,Automatic,295000,Al-Ahsa,0,True
Hyundai,H1,2019,Saudi,Silver,Standard,2.4,Gas,Automatic,76000,Dammam,65000,False
Hummer,H3,2008,Other,Red,Full,3.5,Gas,Automatic,340000,Riyadh,21000,False
Toyota,Furniture,2016,Gulf Arabic,Grey,Full,2.7,Gas,Automatic,185000,Riyadh,73000,False
Toyota,Land Cruiser,2014,Saudi,White,Semi Full,4.6,Gas,Automatic,346000,Taef,130000,False
Ford,Marquis,2011,Gulf Arabic,Golden,Full,4.6,Gas,Automatic,360,Dammam,0,True
Chevrolet,Tahoe,2016,Saudi,Silver,Standard,5.3,Gas,Automatic,145000,Abha,0,True
Ford,Expedition,2012,Saudi,Grey,Standard,3.8,Gas,Automatic,86000,Riyadh,53000,False
Geely,GS,2016,Saudi,Golden,Full,2.4,Gas,Automatic,163000,Abha,0,True
Lexus,ES,2018,Saudi,Black,Full,3.5,Gas,Automatic,91000,Riyadh,130000,False
Kia,Picanto,2017,Saudi,Red,Standard,1.0,Gas,Automatic,158000,Al-Medina,22500,False
Renault,Dokker,2019,Saudi,White,Standard,1.6,Gas,Manual,90000,Riyadh,0,True
Toyota,Prado,2014,Saudi,Silver,Full,4.0,Gas,Automatic,121000,Jeddah,109000,False
Ford,Marquis,2007,Other,Another Color,Full,4.6,Gas,Automatic,300,Jeddah,0,True
Dodge,Durango,2013,Saudi,Navy,Standard,3.6,Gas,Automatic,115458,Jeddah,50000,False
Hyundai,Elantra,2020,Saudi,White,Standard,1.6,Gas,Automatic,15000,Jeddah,0,True
Toyota,Hilux,2012,Saudi,White,Full,2.5,Gas,Manual,335200,Sakaka,50000,False
Mercedes,C,2015,Saudi,Grey,Semi Full,2.0,Gas,Automatic,99000,Jeddah,91500,False
Chrysler,C300,2013,Saudi,Red,Full,5.7,Gas,Automatic,216000,Riyadh,0,True
Hyundai,Elantra,2013,Saudi,Brown,Full,2.0,Gas,Automatic,189000,Aseer,23000,False
Toyota,Innova,2015,Gulf Arabic,White,Full,2.7,Gas,Automatic,14000,Dammam,43000,False
Renault,Fluence,2015,Gulf Arabic,White,Full,1.6,Gas,Automatic,8600,Qassim,0,True
Dodge,Durango,2013,Saudi,Red,Semi Full,5.7,Gas,Automatic,487100,Yanbu,35000,False
Toyota,Land Cruiser,2015,Saudi,Grey,Full,4.6,Gas,Automatic,99000,Dammam,165000,False
Honda,CRV,2014,Saudi,Red,Semi Full,2.4,Gas,Automatic,160000,Makkah,50000,False
Dodge,Charger,2015,Saudi,Red,Standard,3.6,Gas,Automatic,54300,Riyadh,63000,False
Toyota,Previa,2007,Other,White,Standard,2.4,Gas,Automatic,458,Riyadh,0,True
Genesis,G80,2013,Saudi,Black,Full,3.8,Gas,Automatic,124,Jeddah,55000,False
Toyota,Hilux,2017,Saudi,White,Semi Full,2.7,Gas,Manual,210000,Hail,64000,False
Nissan,Patrol,1992,Other,Red,Full,4.2,Gas,Manual,650000,Riyadh,0,True
Lexus,LS,2008,Saudi,White,Full,4.6,Gas,Automatic,280,Riyadh,0,True
Toyota,Land Cruiser,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,120000,Riyadh,205000,False
Hyundai,Sonata,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,305000,Riyadh,45000,False
Hyundai,Sonata,2013,Saudi,White,Semi Full,2.4,Gas,Automatic,215000,Riyadh,28000,False
Lexus,IS,2005,Saudi,Silver,Full,3.5,Gas,Automatic,400000,Jeddah,50000,False
